Pollster,Start Date,End Date,Entry Date/Time (ET),Number of Observations,Population,Mode,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Fiorina,Huckabee,Kasich,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker,Undecided,Pollster URL,Source URL,Partisan,Affiliation
Ipsos/Reuters,2015-12-26,2015-12-30,2015-12-31 18:03:07 UTC 2015-12-31 18:03:07 UTC,722,Adults - Republican,Internet,39,14,12,12,6,2,3,1,2,1,1,0,,,0,,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23429,,Nonpartisan,None
Ipsos/Reuters,2015-12-19,2015-12-23,2015-12-24 02:46:55 UTC 2015-12-24 02:46:55 UTC,626,Adults - Republican,Internet,39,13,9,10,7,3,2,2,3,2,3,0,,,0,,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23413,,Nonpartisan,None
YouGov/Economist,2015-12-18,2015-12-21,2015-12-28 15:19:13 UTC 2015-12-28 15:19:13 UTC,473,Likely Voters - Republican,Internet,35,19,14,7,5,3,6,3,1,3,1,0,,,0,,,2,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23414,,Nonpartisan,None
CNN,2015-12-17,2015-12-21,2015-12-23 12:12:21 UTC 2015-12-23 12:12:21 UTC,438,Registered Voters - Republican,Live Phone,39,18,10,10,3,5,4,1,2,2,0,0,1,,0,,,2,http://elections.huffingtonpost.com/pollster/polls/cnn-23404,,Nonpartisan,None
Emerson College Polling Society,2015-12-17,2015-12-20,2015-12-21 16:37:14 UTC 2015-12-21 16:37:14 UTC,415,Likely Voters - Republican,Automated Phone,36,21,13,7,6,6,1,5,1,3,,,0,,,,,1,http://elections.huffingtonpost.com/pollster/polls/emerson-college-polling-society-23395,,Nonpartisan,None
Quinnipiac,2015-12-16,2015-12-20,2015-12-22 14:45:28 UTC 2015-12-22 14:45:28 UTC,508,Registered Voters - Republican,Live Phone,28,24,12,10,4,6,2,2,1,1,1,0,0,,0,,,8,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400,,Nonpartisan,None
FOX,2015-12-16,2015-12-17,2015-12-18 23:04:23 UTC 2015-12-18 23:04:23 UTC,402,Likely Voters - Republican,Live Phone,39,18,11,9,3,3,3,3,1,2,1,0,0,,0,,,6,http://elections.huffingtonpost.com/pollster/polls/fox-23385,,Nonpartisan,None
Morning Consult,2015-12-16,2015-12-17,2015-12-18 12:23:04 UTC 2015-12-18 12:23:04 UTC,861,Registered Voters - Republican,Mixed,36,11,9,12,7,2,3,2,,,,,,,,,,11,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23379,,Nonpartisan,None
PPP (D),2015-12-16,2015-12-17,2015-12-18 19:45:56 UTC 2015-12-18 19:45:56 UTC,532,Likely Voters - Republican,IVR/Online,34,18,13,6,7,5,2,4,4,2,1,0,1,,0,,,2,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23380,,Pollster,Dem
Ipsos/Reuters,2015-12-12,2015-12-16,2015-12-17 18:34:40 UTC 2015-12-17 18:34:40 UTC,730,Adults - Republican,Internet,36,14,10,11,7,3,3,3,5,2,0,0,1,,0,,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23361,,Nonpartisan,None
Morning Consult,2015-12-11,2015-12-15,2015-12-15 20:45:27 UTC 2015-12-15 20:45:27 UTC,1530,Registered Voters - Republican,Internet,40,9,7,10,7,3,3,3,3,2,1,,1,,1,,,11,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333,,Nonpartisan,None
ABC/Post,2015-12-10,2015-12-13,2015-12-15 05:24:40 UTC 2015-12-15 05:24:40 UTC,362,Registered Voters - Republican,Live Phone,38,15,12,12,5,4,2,1,1,2,0,,1,,0,,,6,http://elections.huffingtonpost.com/pollster/polls/abc-post-23326,,Nonpartisan,None
Monmouth University,2015-12-10,2015-12-13,2015-12-14 17:20:35 UTC 2015-12-14 17:20:35 UTC,385,Registered Voters - Republican,Live Phone,41,14,10,9,3,2,2,2,2,3,0,0,1,,1,,,8,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-23317,,Nonpartisan,None
NBC/WSJ,2015-12-06,2015-12-09,2015-12-13 16:36:01 UTC 2015-12-13 16:36:01 UTC,400,Likely Voters - Republican,Live Phone,27,22,15,11,7,3,2,5,3,2,,,,,,,,3,http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23313,,Nonpartisan,None
Ipsos/Reuters,2015-12-05,2015-12-09,2015-12-10 16:16:52 UTC 2015-12-10 16:16:52 UTC,494,Adults - Republican,Internet,37,11,12,13,5,4,1,2,2,2,1,0,2,,1,,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23297,,Nonpartisan,None
YouGov/Economist,2015-12-04,2015-12-09,2015-12-10 20:02:45 UTC 2015-12-10 20:02:45 UTC,455,Likely Voters - Republican,Internet,34,15,17,9,4,3,6,4,3,3,0,0,0,,0,,,1,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23301,,Nonpartisan,None
Gravis Marketing/One America News,2015-12-07,2015-12-08,2015-12-10 19:44:46 UTC 2015-12-10 19:44:46 UTC,691,Likely Voters - Republican,Automated Phone,42,16,11,9,6,4,2,3,2,3,1,,1,,,,,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23300,,Sponsor,Rep
CBS/Times,2015-12-04,2015-12-08,2015-12-10 13:12:56 UTC 2015-12-10 13:12:56 UTC,431,Likely Voters - Republican,Live Phone,35,16,9,13,3,3,4,1,3,3,0,0,0,,0,,,7,http://elections.huffingtonpost.com/pollster/polls/cbs-times-23293,,Nonpartisan,None
Zogby (Internet),2015-12-07,2015-12-07,2015-12-10 01:29:33 UTC 2015-12-10 01:29:33 UTC,271,Likely Voters - Republican,Internet,38,8,12,13,7,4,1,3,1,1,0,0,0,,1,,,10,http://elections.huffingtonpost.com/pollster/polls/zogby-internet-23291,,Nonpartisan,None
Morning Consult,2015-12-03,2015-12-07,2015-12-08 22:24:57 UTC 2015-12-08 22:24:57 UTC,865,Registered Voters - Republican,Internet,41,7,10,12,5,3,2,2,3,2,0,,1,,1,,,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281,,Nonpartisan,None
Public Religion Research Institute,2015-12-02,2015-12-06,2015-12-10 16:08:19 UTC 2015-12-10 16:08:19 UTC,376,Registered Voters - Republican,Live Phone,24,10,12,16,10,3,4,2,1,2,,,,,,,,14,http://elections.huffingtonpost.com/pollster/polls/public-religion-research-institute-23296,,Nonpartisan,None
Suffolk/USA Today,2015-12-02,2015-12-06,2015-12-08 20:23:37 UTC 2015-12-08 20:23:37 UTC,357,Likely Voters - Republican,Live Phone,27,17,16,10,4,2,2,1,1,2,1,0,0,,0,,,17,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-23278,,Nonpartisan,None
IBD/TIPP,2015-11-30,2015-12-04,2015-12-07 14:56:48 UTC 2015-12-07 14:56:48 UTC,354,Registered Voters - Republican,Live Phone,27,13,14,15,3,2,2,3,2,2,0,,0,,0,,,14,http://elections.huffingtonpost.com/pollster/polls/ibd-tipp-23266,,Nonpartisan,None
Ipsos/Reuters,2015-11-28,2015-12-02,2015-12-03 17:32:37 UTC 2015-12-03 17:32:37 UTC,385,Adults - Republican,Internet,36,10,7,17,11,2,4,2,2,2,1,0,0,,0,,,5,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23252,,Nonpartisan,None
CNN,2015-11-27,2015-12-01,2015-12-04 12:16:32 UTC 2015-12-04 12:16:32 UTC,445,Registered Voters - Republican,Live Phone,36,16,12,14,3,4,1,3,2,2,0,0,0,0,0,,,6,http://elections.huffingtonpost.com/pollster/polls/cnn-23258,,Nonpartisan,None
Quinnipiac,2015-11-23,2015-11-30,2015-12-02 12:04:16 UTC 2015-12-02 12:04:16 UTC,672,Registered Voters - Republican,Live Phone,27,16,17,16,5,2,2,3,1,2,0,0,0,,0,,,9,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247,,Nonpartisan,None
Ipsos/Reuters,2015-11-21,2015-11-25,2015-11-25 20:56:33 UTC 2015-11-25 20:56:33 UTC,352,Adults - Republican,Internet,37,11,10,9,6,4,2,3,3,3,0,3,0,,2,,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23238,,Nonpartisan,None
Gravis Marketing/One America News,2015-11-23,2015-11-23,2015-11-25 15:31:26 UTC 2015-11-25 15:31:26 UTC,523,Likely Voters - Republican,Automated Phone,37,12,14,15,8,2,3,2,2,4,1,,2,,,,,,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-23235,,Sponsor,Rep
YouGov/Economist,2015-11-19,2015-11-23,2015-11-25 14:14:12 UTC 2015-11-25 14:14:12 UTC,600,Likely Voters - Republican,Internet,36,12,14,10,6,3,4,4,2,4,0,0,1,,0,,,3,http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23233,,Nonpartisan,None
ABC/Post,2015-11-16,2015-11-19,2015-11-22 15:00:37 UTC 2015-11-22 15:00:37 UTC,373,Registered Voters - Republican,Live Phone,32,8,11,22,6,2,3,4,3,3,1,,1,,,,,5,http://elections.huffingtonpost.com/pollster/polls/abc-post-23205,,Nonpartisan,None
FOX,2015-11-16,2015-11-19,2015-11-22 15:14:04 UTC 2015-11-22 15:14:04 UTC,434,Likely Voters - Republican,Live Phone,28,14,14,18,5,3,2,3,3,2,,,,,1,,,5,http://elections.huffingtonpost.com/pollster/polls/fox-23207,,Nonpartisan,None
Ipsos/Reuters,2015-11-14,2015-11-18,2015-11-19 18:29:31 UTC 2015-11-19 18:29:31 UTC,1299,Adults - Republican,Internet,37,8,11,14,6,3,5,3,3,2,1,0,0,1,0,,,6,http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-23182,,Nonpartisan,None
PPP (D),2015-11-16,2015-11-17,2015-11-19 15:02:32 UTC 2015-11-19 15:02:32 UTC,607,Likely Voters - Republican,IVR/Online,26,14,13,19,5,3,2,4,4,3,0,0,1,0,1,,,2,http://elections.huffingtonpost.com/pollster/polls/ppp-d-23174,,Pollster,Dem
Bloomberg/Selzer,2015-11-15,2015-11-17,2015-11-19 17:27:19 UTC 2015-11-19 17:27:19 UTC,379,Registered Voters - Republican,Live Phone,24,9,12,20,6,4,3,3,3,3,1,,1,,1,,,12,http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-23179,,Nonpartisan,None
NBC/SurveyMonkey,2015-11-15,2015-11-17,2015-11-20 14:12:40 UTC 2015-11-20 14:12:40 UTC,2440,Registered Voters - Republican,Internet,28,18,11,18,4,3,2,3,2,2,1,0,0,1,0,,,6,http://elections.huffingtonpost.com/pollster/polls/nbc-surveymonkey-23195,,Nonpartisan,None
Morning Consult,2015-11-13,2015-11-16,2015-11-17 15:45:58 UTC 2015-11-17 15:45:58 UTC,774,Registered Voters - Republican,Internet,38,7,7,19,6,2,2,3,3,1,0,,1,0,0,,,9,http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158,,Nonpartisan,None
Rasmussen,2015-11-11,2015-11-12,2015-11-13 17:55:34 UTC 2015-11-13 17:55:34 UTC,572,Likely Voters - Republican,Automated Phone,27,13,16,20,8,,,4,,,,,,,,,,5,http://elections.huffingtonpost.com/pollster/polls/rasmussen-23134,,Nonpartisan,None
