date,Hillary+AND+Clinton,Bernie+AND+Sanders,Martin+AND+O'Malley,Carly+AND+Fiorina,Donald+AND+Trump,Ben+AND+Carson,Ted+AND+Cruz,Marco+AND+Rubio,Jeb+AND+Bush
2015-01-01,34,2,8,1,1,2,8,10,72
2015-01-02,39,10,4,6,4,10,7,4,13
2015-01-03,6,4,0,1,4,1,5,8,6
2015-01-04,15,2,0,3,1,3,9,6,17
2015-01-05,48,13,3,1,38,9,16,13,65
2015-01-06,43,8,1,0,22,6,16,15,80
2015-01-07,47,7,0,0,5,6,16,20,42
2015-01-08,68,1,3,4,16,10,21,37,63
2015-01-09,48,5,5,4,9,3,11,14,56
2015-01-10,39,2,3,4,3,2,11,8,40
2015-01-11,8,2,0,0,3,0,2,2,15
2015-01-12,29,4,1,2,37,8,40,65,37
2015-01-13,40,11,0,1,27,8,49,21,78
2015-01-14,51,5,0,8,4,9,21,13,56
2015-01-15,38,7,2,1,9,23,19,26,45
2015-01-16,47,12,1,4,11,25,14,10,36
2015-01-17,32,1,0,0,7,4,5,8,31
2015-01-18,25,4,1,0,1,6,10,12,18
2015-01-19,36,4,5,0,25,10,22,16,28
2015-01-20,69,1,4,8,24,3,36,45,52
2015-01-21,113,8,1,4,7,1,32,34,37
2015-01-22,61,7,1,2,3,2,24,21,95
2015-01-23,36,7,0,7,5,12,24,45,72
2015-01-24,15,1,0,10,33,23,36,15,37
2015-01-25,24,2,0,4,30,5,31,15,43
2015-01-26,60,5,1,6,43,10,49,44,57
2015-01-27,59,8,1,2,11,11,27,16,34
2015-01-28,93,3,0,1,19,8,43,18,32
2015-01-29,79,7,3,3,3,8,28,16,54
2015-01-30,56,10,1,2,8,4,22,27,126
2015-01-31,10,1,0,1,5,2,7,12,52
2015-02-01,60,4,3,2,3,9,9,9,38
2015-02-02,77,10,4,9,7,17,23,18,51
2015-02-03,140,2,0,11,11,37,45,47,58
2015-02-04,46,3,2,1,6,11,14,20,130
2015-02-05,44,7,0,1,6,7,11,12,69
2015-02-06,54,3,1,2,3,6,27,9,18
2015-02-07,16,4,0,0,2,5,5,6,11
2015-02-08,34,3,1,3,2,13,29,12,38
2015-02-09,74,21,3,4,4,21,17,19,74
2015-02-10,66,14,2,2,4,3,18,27,134
2015-02-11,71,8,3,0,6,3,15,19,44
2015-02-12,59,3,1,6,9,9,23,17,27
2015-02-13,50,6,1,1,7,7,24,25,43
2015-02-14,28,1,0,0,6,0,8,2,53
2015-02-15,33,1,0,0,10,2,3,4,38
2015-02-16,79,3,1,1,17,11,13,10,44
2015-02-17,74,9,1,4,20,2,17,11,61
2015-02-18,107,9,3,4,24,6,21,21,241
2015-02-19,84,0,1,5,15,13,16,22,97
2015-02-20,58,7,1,0,28,2,14,33,80
2015-02-21,25,2,2,4,3,0,14,13,25
2015-02-22,44,3,3,6,4,1,14,5,31
2015-02-23,85,6,2,2,3,6,13,24,66
2015-02-24,113,9,0,12,3,15,20,17,48
2015-02-25,103,2,1,25,33,23,29,30,75
2015-02-26,93,4,2,28,17,70,87,29,120
2015-02-27,97,2,1,6,45,15,53,71,174
2015-02-28,46,1,6,15,18,26,43,27,77
2015-03-01,116,6,5,7,4,18,15,10,46
2015-03-02,166,9,10,14,14,11,21,31,54
2015-03-03,226,8,15,8,2,33,21,13,53
2015-03-04,183,3,7,1,9,72,14,24,40
2015-03-05,256,10,4,0,5,35,21,22,70
2015-03-06,193,9,3,5,10,18,16,18,68
2015-03-07,93,4,5,4,7,5,30,9,77
2015-03-08,162,2,3,1,21,4,5,10,52
2015-03-09,260,10,7,2,20,10,37,40,73
2015-03-10,456,8,5,5,5,4,39,37,52
2015-03-11,265,7,5,2,1,5,22,27,55
2015-03-12,163,5,11,2,14,6,22,16,53
2015-03-13,153,5,4,14,10,5,28,68,78
2015-03-14,83,2,0,0,3,3,7,3,56
2015-03-15,123,0,0,0,3,1,32,6,38
2015-03-16,145,6,3,6,0,3,68,17,49
2015-03-17,120,0,2,3,6,10,33,27,56
2015-03-18,78,7,3,2,86,9,29,24,100
2015-03-19,145,6,2,3,5,9,22,23,85
2015-03-20,123,8,1,1,12,4,21,13,39
2015-03-21,28,1,4,4,1,3,9,4,29
2015-03-22,39,3,2,0,3,6,111,20,53
2015-03-23,123,6,4,10,17,24,459,52,106
2015-03-24,101,9,5,5,18,8,277,23,68
2015-03-25,102,7,9,2,3,11,139,16,86
2015-03-26,65,6,1,3,6,12,93,34,61
2015-03-27,138,10,4,4,6,5,111,40,63
2015-03-28,45,0,1,4,5,0,37,12,19
2015-03-29,106,5,17,20,3,5,59,23,37
2015-03-30,130,9,9,13,3,10,59,53,66
2015-03-31,175,2,17,19,2,20,91,64,129
2015-04-01,138,2,14,5,5,6,78,17,60
2015-04-02,92,6,3,2,6,6,82,22,62
2015-04-03,95,2,3,12,4,5,92,20,60
2015-04-04,27,3,2,4,2,0,10,3,12
2015-04-05,39,1,0,5,7,2,17,8,15
2015-04-06,102,5,3,9,9,17,58,26,124
2015-04-07,115,4,6,15,5,14,98,47,90
2015-04-08,133,7,4,5,9,12,84,24,58
2015-04-09,169,12,11,7,11,32,85,64,70
